sudo zypper lr -d
#  | Alias                                | Name                           | Enabled | GPG Check | Refresh | Priority | Type   | URI                                                                                               | Service
---+--------------------------------------+--------------------------------+---------+-----------+---------+----------+--------+---------------------------------------------------------------------------------------------------+--------
 1 | Google-Chrome                        | Google-Chrome                  | Yes     | (r ) Yes  | No      |   99     | rpm-md | http://dl.google.com/linux/chrome/rpm/stable/x86_64                                               | 
 2 | KDE-Applications                     | KDE-Applications               | Yes     | (r ) Yes  | No      |   75     | rpm-md | https://download.opensuse.org/repositories/KDE:/Applications/KDE_Frameworks5_openSUSE_Tumbleweed/ | 
 3 | KDE-Frameworks                       | KDE-Frameworks                 | Yes     | (r ) Yes  | No      |   75     | rpm-md | https://download.opensuse.org/repositories/KDE:/Frameworks5/openSUSE_Factory/                     | 
 4 | KDE-Qt5                              | KDE-Qt5                        | Yes     | (r ) Yes  | No      |   75     | rpm-md | https://download.opensuse.org/repositories/KDE:/Qt5/openSUSE_Factory/                             | 
 5 | adobe                                | adobe                          | Yes     | ( p) Yes  | Yes     |   99     | rpm-md | http://linuxdownload.adobe.com/linux/x86_64/                                                      | 
 6 | code                                 | Visual Studio Code             | Yes     | (r ) Yes  | No      |   99     | rpm-md | https://packages.microsoft.com/yumrepos/vscode                                                    | 
 7 | dvd                                  | dvd                            | Yes     | (r ) Yes  | Yes     |   99     | rpm-md | http://opensuse-guide.org/repo/13.2/                                                              | 
 8 | google-chrome                        | google-chrome                  | Yes     | (r ) Yes  | Yes     |   99     | rpm-md | http://dl.google.com/linux/chrome/rpm/stable/x86_64                                               | 
 9 | http-download.opensuse.org-092ce705  | openSUSE:Factory               | Yes     | (r ) Yes  | Yes     |   99     | rpm-md | http://download.opensuse.org/repositories/openSUSE:/Factory/snapshot/                             | 
10 | http-download.opensuse.org-1e10a4bc  | openSUSE:Tumbleweed            | Yes     | (r ) Yes  | Yes     |   99     | rpm-md | http://download.opensuse.org/repositories/openSUSE:/Tumbleweed/standard/                          | 
11 | http-download.opensuse.org-2cbd93c7  | devel:languages:haskell:lts:13 | Yes     | (r ) Yes  | Yes     |   99     | rpm-md | http://download.opensuse.org/repositories/devel:/languages:/haskell:/lts:/13/openSUSE_Leap_15.1/  | 
12 | http-download.opensuse.org-84ca802d  | home:cabelo                    | Yes     | (r ) Yes  | Yes     |   99     | rpm-md | http://download.opensuse.org/repositories/home:/cabelo/openSUSE_Tumbleweed/                       | 
13 | http-download.opensuse.org-957423dc  | server:database                | Yes     | (r ) Yes  | Yes     |   99     | rpm-md | http://download.opensuse.org/repositories/server:/database/openSUSE_Tumbleweed/                   | 
14 | http-download.opensuse.org-a8779bfe  | system:packagemanager          | Yes     | (r ) Yes  | Yes     |   99     | rpm-md | http://download.opensuse.org/repositories/system:/packagemanager/openSUSE_Tumbleweed/             | 
15 | http-download.opensuse.org-b888aba0  | home:darthzen:arduino          | Yes     | (r ) Yes  | Yes     |   99     | rpm-md | http://download.opensuse.org/repositories/home:/darthzen:/arduino/openSUSE_Tumbleweed/            | 
16 | openSUSE-20190907-0                  | openSUSE-20190907-0            | No      | ----      | ----    |   99     | rpm-md | hd:/?device=/dev/disk/by-id/usb-Kingston_DataTraveler_3.0_80C5F260FAC2E311686F1AD8-0:0-part2      | 
17 | packman                              | packman                        | Yes     | (r ) Yes  | Yes     |   99     | rpm-md | http://ftp.gwdg.de/pub/linux/packman/suse/openSUSE_13.2/                                          | 
18 | packman.inode.at-openSUSE_Tumbleweed | Packman Repository             | Yes     | (r ) Yes  | Yes     |   99     | rpm-md | http://packman.inode.at/suse/openSUSE_Tumbleweed/                                                 | 
19 | repo-debug                           | openSUSE-Tumbleweed-Debug      | No      | ----      | ----    |   99     | NONE   | http://download.opensuse.org/debug/tumbleweed/repo/oss/                                           | 
20 | repo-non-oss                         | openSUSE-Tumbleweed-Non-Oss    | Yes     | (r ) Yes  | Yes     |   99     | rpm-md | http://download.opensuse.org/tumbleweed/repo/non-oss/                                             | 
21 | repo-oss                             | openSUSE-Tumbleweed-Oss        | Yes     | (r ) Yes  | Yes     |   99     | rpm-md | http://download.opensuse.org/tumbleweed/repo/oss/                                                 | 
22 | repo-source                          | openSUSE-Tumbleweed-Source     | No      | ----      | ----    |   99     | NONE   | http://download.opensuse.org/source/tumbleweed/repo/oss/                                          | 
23 | repo-update                          | openSUSE-Tumbleweed-Update     | Yes     | (r ) Yes  | Yes     |   99     | rpm-md | http://download.opensuse.org/update/tumbleweed/                                                   | 
24 | snappy                               | snappy                         | Yes     | (r ) Yes  | Yes     |   99     | rpm-md | https://download.opensuse.org/repositories/system:/snappy/openSUSE_Leap_15.0                      | 
